㕣(yǎn): 山间泥沼地; 字数: 5
㗴(án): 犬相争; 字数: 3
㗵(ù): 气; 字数: 1
㗶(pō): 呵; 字数: 1
㗻(uō): 小儿相应声; 字数: 5
㗼(yè): 口动貌; 字数: 3
㗽(xiǎng): 应声; 字数: 2
㗾(xuē): 吐气声; 字数: 3
㗿(xià): 〔詬㗿〕怒责；斥责; 字数: 6
㘀(uò): 〔㘀㘀〕声; 字数: 3
㘁(yì): 川名; 字数: 2
㘂(cí): 〔𠲻㘂〕愧貌; 字数: 4
㘄(lēng): 象声词; 字数: 3
㘆(tǎi): 〔㘆𠷂〕也作“𠷂㘆”; 字数: 6
㘇(róng): 啼; 字数: 1
㘈(yì): 小儿懂事的样子; 字数: 7
㘈(yì): 无闻见; 字数: 3
㘈(nǐ): 声; 字数: 1
㘉(zhì): 〔咇㘉〕见“咇”; 字数: 4
㘊(xī): 〔㘊霵〕也作“㘊𡅺”; 字数: 6
㘋(ián): 声; 字数: 1
㘍(jí): 象声词; 字数: 3
㘐(pào): 大声; 字数: 2
㘑(lì): 咒语; 字数: 2
㘔(ǎi): 吃，啃嚼; 字数: 3
㘖(yán): 〔㘖㘖〕争斗貌; 字数: 5
㘗(qū): 象声词; 字数: 3
㘙(yán): 呻吟; 字数: 2
㘚(hǎn): hǎn; 字数: 3
㘛(ān): 少数民族乐曲名; 字数: 7
口(kǒu): 人和动物进饮食的器官，也是人和大部分动物发声的器官; 字数: 24
古(gǔ): 过去已久的年代；往昔; 字数: 9
古(gù): 连词; 字数: 2
古(kū): 〔古成〕姓; 字数: 3
句(gōu): 曲，弯曲; 字数: 3
句(gòu): 〔句當〕今作“勾当”; 字数: 6
句(jù): 语句；诗句; 字数: 4
句(qú): 鞋头上的装饰; 字数: 6
另(ìng): 分居; 字数: 2
叨(tāo): 谦辞; 字数: 2
叨(dāo): 〔嘮叨〕见“嘮”; 字数: 4
叩(None): 击，敲; 字数: 2
只(zhǐ): 语气词; 字数: 3
只(zhǐ): 作，做; 字数: 2
只(zhī): “隻”的简化字; 字数: 5
叫(jiào): 呼喊; 字数: 2
召(zhào): 召唤; 字数: 2
召(shào): 姓; 字数: 1
叭(pā): 象声词; 字数: 3
叭(bā): 佛教“六字真言”之一; 字数: 8
叭(ba): 〔喇叭〕见“喇”; 字数: 4
叮(īng): 〔叮嚀〕反复申说; 字数: 6
可(kě): 表示许可、肯定; 字数: 6
可(gē): 女师; 字数: 2
可(kè): 〔可汗〕也作“可寒”、“合罕”; 字数: 8
台(tái): 我; 字数: 1
台(tái): 〔三台〕星名; 字数: 4
台(tái): 鱼名; 字数: 2
台(tāi): 地名; 字数: 2
台(sì): 通“始（shǐ）”; 字数: 5
叱(chì): 大声呵斥、责骂; 字数: 6
史(shǐ): 古代文职官员; 字数: 6
右(yòu): 助，帮助; 字数: 3
右(yòu): 右手; 字数: 2
右(yòu): 助，帮助; 字数: 3
叴(qiú): 〔叴叴〕傲气逼人貌; 字数: 7
叵(pǒ): 不可; 字数: 2
叶(yè): “葉”的简化字; 字数: 5
号(háo): 大声哭; 字数: 3
司(sī): 掌管；主持; 字数: 4
司(sì): 窥察；监视; 字数: 4
叹(tàn): “嘆”的简化字; 字数: 5
叺(chǐ): 《搜真玉鏡》：“叺，丑入切; 字数: 8
叻(lè): 〔石叻〕马来语; 字数: 5
叻(lì): 象声词; 字数: 3
叼(diāo): 用嘴衔住（物体的一部分）; 字数: 10
叿(hōng): 呵; 字数: 1
吁(xū): 叹词; 字数: 2
吁(yù): 应答声; 字数: 3
吁(yū): 象声词; 字数: 3
吂(máng): 叹词; 字数: 2
吂(màng): 老年迟钝貌; 字数: 5
吃(chī): 说话结结巴巴不流利（旧读jí）; 字数: 13
吃(qī): 〔吃吃〕笑声; 字数: 4
各(gè): 至，止; 字数: 2
各(gě): 方言; 字数: 2
吆(āo): 〔吆吆〕声; 字数: 3
吇(zǐ): 〔吇吇〕鸟叫声; 字数: 5
合(None): 义项繁体字作“閤”; 字数: 7
合(hé): 闭；合拢; 字数: 3
合(gě): 旧容量单位，为市制一升的十分之一，约一百立方厘米; 字数: 22
吉(jí): 善；吉祥; 字数: 3
吉(jí): 姓; 字数: 1
吉(jí): 善；吉祥; 字数: 3
吋(dòu): 《川篇》田丑切; 字数: 5
吋(cùn（又读yīngcùn）): “英寸”的旧称; 字数: 5
同(tóng): 会合；聚集; 字数: 4
同(tòng): 〔胡同〕也作“衚衕”; 字数: 6
名(míng): 人的名字; 字数: 4
后(hòu): 君主; 字数: 2
吏(lì): 古代官员的通称; 字数: 7
吐(tǔ): 使东西从嘴里出来; 字数: 8
吐(tù): 呕，不自主地从嘴里涌出; 字数: 10
向(xiàng): 朝北的窗户; 字数: 5
向(xiàng): *周*代国名; 字数: 6
向(xiàng): 朝北的窗户; 字数: 5
吒(zhā): 神话传说中的人名用字; 字数: 10
吓(hà): 语气词; 字数: 3
吓(xià（又读hè）): “嚇”的简化字; 字数: 5
吔(yě): 佛经咒语译音用字，无实义; 字数: 11
吔(yē): 叹词; 字数: 2
吕(lǚ): 脊骨; 字数: 2
吖(yā): 喊; 字数: 1
吖(ā): 叹词; 字数: 2
吘(ǒu): 和，和吘; 字数: 3
吙(uō): 吐气；吐气声; 字数: 5
吚(yī): 象声词; 字数: 3
君(jūn): 古代大夫以上据有土地的各级统治者的通称; 字数: 19
吜(chǒu): 声音; 字数: 2
吝(lìn): 悔恨；遗憾; 字数: 4
吞(tūn): 咽下; 字数: 2
吞(tiān): 姓; 字数: 1
吟(yín): 吟咏；吟诵; 字数: 4
吟(yǐn): 〔噤吟〕下巴下垂经常闭不住口的样子; 字数: 15
吠(fèi): 狗叫; 字数: 2
吡(bì): 〔吡吡〕鸟叫声; 字数: 5
吢(qìn): 猫狗呕吐; 字数: 4
吣(ìn): 谩骂; 字数: 2
吤(jiè): 喉中哽塞所出声; 字数: 7
吤(gè): 助词; 字数: 2
吥(pōu): 吸; 字数: 1
吥(bù): 〔嗊吥〕见“嗊”; 字数: 4
否(fǒu): 副词; 字数: 2
否(pǐ): 闭塞；阻隔不通; 字数: 6
吧(bā): 〔吧呀〕小儿生气争吵; 字数: 8
吧(ba): 语气词; 字数: 3
吧(pā): 〔吧呀〕大口貌; 字数: 5
吨(tún): 〔吨吨〕说话不清; 字数: 6
吨(tǔn): 气相冲; 字数: 3
吨(dūn): “噸”的简化字; 字数: 5
吩(fēn): 〔吩咐〕嘱告；指派; 字数: 6
吪(é): 行动; 字数: 2
吪(huā): 口开; 字数: 2
含(hán): 东西放在口里，不咽下也不吐出; 字数: 13
含(hàn): 古代放在死者口里的珠、玉等物品; 字数: 14
听(yí): 笑貌; 字数: 2
听(yí): 〔听嗞〕口开貌; 字数: 5
听(yí): 〔听嗞〕也作“𠲻嗞”; 字数: 6
吭(háng): 鸟的喉咙; 字数: 4
吭(hàng): 嗓音; 字数: 2
吭(kēng): 出声; 字数: 2
吮(shǔn): 用口含吸; 字数: 4
启(qǐ): 开; 字数: 1
吰(óng): 〔噌吰〕见“噌”; 字数: 4
吱(zhī): 象声词; 字数: 3
吱(zī): 象声词; 字数: 3
吱(qì): 走路喘息貌; 字数: 5
吲(yǐn): 〔吲哚〕有机化合物indole的音译; 字数: 16
吴(wú): 大声说话; 字数: 4
吴(tūn): 《俗字背篇》吐根切; 字数: 7
吵(miǎo): 《集韻》弭沼切），上小明; 字数: 8
吵(chǎo): 喧哗，吵闹; 字数: 4
吵(chāo): 古人名用字; 字数: 5
吵(chào): 吶@@@LINK=呐\n; 字数: 8
吷(xuè): 以口吹物发出的小声; 字数: 9
吷(jué): 鸟叫声; 字数: 3
吸(xī): 吸气入内; 字数: 4
吹(chuī): 撮起嘴唇急促地吐出气流; 字数: 11
吹(chuì): 吹奏乐曲的活动；也指乐曲; 字数: 11
吺(dōu): 〔讘吺〕也作“吺哆”; 字数: 6
吺(rú): 〔囁吺〕即“囁嚅”; 字数: 5
吻(wěn): 嘴唇; 字数: 2
吼(ǒu): 人因愤怒或情绪激动而大声呼喊; 字数: 14
吽(óu): 〔吽牙〕也作“吽呀”; 字数: 6
吽(hōng): 佛教“六字真言”之一; 字数: 8
吾(wú): 代词; 字数: 2
吾(yú): 〔吾吾〕疏远貌; 字数: 5
吾(yá): 〔允吾〕古县名; 字数: 5
呀(xiā): 张口貌; 字数: 3
呀(yā): 嗟叹; 字数: 2
呀(ya): 助词; 字数: 2
呁(ùn): 吐; 字数: 1
呃(ài): 不平声; 字数: 3
呃(è): 鸡声; 字数: 2
呃(e): 助词; 字数: 2
呄(gé): 《川篇》古得切; 字数: 5
呅(méi): 哸呅; 字数: 2
呆(dāi): 痴；傻; 字数: 2
呈(chéng): 平; 字数: 1
呈(chéng): 炫耀; 字数: 2
告(gào): 上报; 字数: 2
告(gù): 〔告朔〕*周*制，每年秋冬之交，天子把来年的历书颁给诸侯; 字数: 24
呎(chǐ（又读yīngchǐ）): “英尺”的旧称; 字数: 5
呏(shēng): *英*、*美*容量单位加仑（gallon）的旧译名; 字数: 22
呐(nà): 大声呼喊; 字数: 4
呐(na): 语气词; 字数: 3
呐(nuò): 〔嗗呐〕声不出; 字数: 5
呔(dāi): 叹词; 字数: 2
呔(tǎi): 方言; 字数: 2
呟(juǎn): 大声; 字数: 2
呠(pěn): 喷; 字数: 1
呢(ní): 〔呢喃〕1.悄声细语; 字数: 6
呢(nǐ): 声; 字数: 1
呢(nī): 佛教“六字真言”之一; 字数: 8
呢(ne): 语气词; 字数: 3
呣(móu): 象声词; 字数: 3
呣(None): 叹词; 字数: 2
呣(None): 叹词; 字数: 2
呤(líng): 〔啨呤〕见“啨（yīng）”; 字数: 8
呤(lìng): 〔嘌呤〕见“嘌（piào）”; 字数: 8
呥(án): 咀嚼貌; 字数: 3
呦(yōu): 象声词; 字数: 3
周(zhōu): 周密；谨严; 字数: 4
呪(hòu): 祷告; 字数: 2
呫(tiè): 尝；啜; 字数: 2
呫(chè): 〔呫囁〕1.小语声; 字数: 5
呬(xì): 喘息；嘘气; 字数: 4
呭(yì): 〔呭呭〕多言; 字数: 4
呮(zhī): 〔呮查〕象声词; 字数: 5
呯(píng): 象声词; 字数: 3
呰(zǐ): 诋毁，诽谤; 字数: 4
呰(jī): 此; 字数: 1
呱(gū): 小儿哭声; 字数: 4
呱(guā): 象声词; 字数: 3
呱(guǎ): 〔拉呱〕方言; 字数: 4
呲(cí): 无食; 字数: 2
呲(zī): 方言; 字数: 2
呲(cī): 申斥；斥责; 字数: 4
味(wèi): 舌头尝东西得到的感觉; 字数: 10
味(mèi): 光泽; 字数: 2
呴(xǔ): 呼气; 字数: 2
呴(hōu): 喉中喘气声; 字数: 5
呴(gōu): 〔呴犂湖〕*汉**匈奴*单于名; 字数: 13
呴(jū): 鸡叫声; 字数: 3
呵(hē): 呼喊；吆喝; 字数: 4
呵(hē): 呼气；哈气; 字数: 4
呵(kē): 译音用字; 字数: 4
呵(huō): 方言; 字数: 2
呶(náo): 喧闹; 字数: 2
呶(ná): 〔嘮呶〕见“嘮（chāo）”; 字数: 8
呷(xiā): 〔吸呷〕也作“翕呷”、“喤呷”; 字数: 8
呷(gā): 象声词; 字数: 3
呸(pēi): 叹词; 字数: 2
呹(yì): 牛羊嚼草貌; 字数: 5
呹(chì): 声响; 字数: 2
呺(xiāo): 大而中空貌; 字数: 5
呻(shēn): 吟诵; 字数: 2
呼(hū): 吐气，使气从口或鼻中出来; 字数: 11
呼(hè): 叹词; 字数: 2
命(mìng): 命令; 字数: 2
呾(dá): 相呵; 字数: 2
呾(yà): 相呼声; 字数: 3
呾(tǎ): 〔呾噠〕语不正；多话; 字数: 7
呾(dàn): *元*代称唱曲子叫“呾”; 字数: 10
呿(qù): 张口貌; 字数: 3
呿(kā): 译音用字; 字数: 4
咀(jǔ): 品尝；玩味; 字数: 4
咀(jǔ): 㕮咀，配药方; 字数: 5
咀(jǔ): 品尝；玩味; 字数: 4
咁(hán): 乳; 字数: 1
咁(gàn): 方言; 字数: 2
咂(ā): 吮；吸; 字数: 2
咃(tuō): 译音用字; 字数: 4
咄(duō): 叹词; 字数: 2
咅(tòu): 表示拒绝的语声; 字数: 7
咆(páo): 猛兽嗥叫; 字数: 4
咇(bì): 语; 字数: 1
咇(bì): 〔咇茀〕也作“馝馞”、“苾勃”; 字数: 8
咇(bì): 〔咇㘉〕1.言语细碎; 字数: 6
咈(fú): 违逆；乖戾; 字数: 4
咉(yāng): 应答声; 字数: 3
咉(yǎng): 〔咉咽〕1.悲伤; 字数: 4
咋(zé): 声音大; 字数: 3
咋(zé): 〔㕭咋〕犬多声; 字数: 5
咋(zhà): 语声; 字数: 2
咋(zǎ): 方言; 字数: 2
咋(zhā): 〔咋呼〕也作“咋唬”; 字数: 6
和(hè): 声音相应；和谐地跟着唱或伴奏; 字数: 13
和(hé): 和谐；协调; 字数: 4
和(huò): 掺和；混杂; 字数: 4
和(huó): 在粉状物中加水搅拌或揉弄使粘在一起; 字数: 17
和(huo): “掺和”、“搅和”、“暖和”、“热和”、“软和”读此音; 字数: 13
和(hú): 打麻将用语; 字数: 5
咍(hāi): 嗤笑，嘲笑; 字数: 4
咍(tāi): 姓; 字数: 1
咎(jiù): 凶；灾祸; 字数: 3
咐(fú): 嘘; 字数: 1
咐(fù): 〔吩咐〕见“吩”; 字数: 4
咓(wǎ): 译音用字; 字数: 4
咔(kā): 象声词; 字数: 3
咔(kǎ): 译音用字; 字数: 4
咕(gū): 〔咕噥〕含混地自言自语，也指低声说私话; 字数: 16
咕(gu): 〔嘀咕〕见“嘀”; 字数: 4
咖(gā): 〔咖咖〕象声词; 字数: 5
咖(kā): 译音用字; 字数: 4
咗(uǒ): 象声词; 字数: 3
咘(bù): 译音用字; 字数: 4
咚(dōng): 象声词; 字数: 3
咠(qì): 附耳私语; 字数: 4
咡(èr): 口旁；口耳之间; 字数: 6
咢(è): 争辩; 字数: 2
咣(gōng): 能说会道; 字数: 4
咣(guāng): 象声词; 字数: 3
咤(hà): 怒声; 字数: 2
咥(dié): 《集韻》虚器切; 字数: 5
咥(dié): 咬; 字数: 1
咥(dié): 译音用字; 字数: 4
咥(zhì): 止; 字数: 1
咦(yí): 出大气; 字数: 3
咧(liè): 鸟声; 字数: 2
咧(liē): 〔咧咧〕1.小儿哭; 字数: 5
咧(liě): 嘴角向两边伸展; 字数: 7
咧(lie): 语气词; 字数: 3
咨(zī): 商议；询问; 字数: 4
咩(iē（旧读mǐ）): 羊叫声; 字数: 3
咪(mī): 〔咪咪〕象声词; 字数: 5
咪(mǎi): 方言; 字数: 2
咪(mǐ): *法国*长度单位“米突（mètre）”的省称; 字数: 18
咫(zhǐ): 古代长度名，*周*制八寸叫“咫”，合市尺六寸二分二厘，约今20厘米; 字数: 27
咬(yǎo): 上下牙相对用力压碎或夹住东西; 字数: 14
咬(jiāo): 〔咬咬〕象声词; 字数: 5
咬(yāo): 〔咬哇〕也作“哇咬”、“䵷咬”; 字数: 8
咬(jiǎo): 凄切声; 字数: 3
咭(xī): 笑貌; 字数: 2
咭(qià): 鼠叫; 字数: 2
咭(jī): 象声词; 字数: 3
咮(zhòu): 鸟嘴; 字数: 2
咮(zhù): 鸟声; 字数: 2
咮(zhū): 〔讋咮〕多言貌; 字数: 5
咯(luò): 讼言; 字数: 2
咯(gē): 野鸡叫声; 字数: 4
咯(lo): 语气词; 字数: 3
咰(shuài): 饮; 字数: 1
咱(zá): 代词; 字数: 2
咱(zán): 代词; 字数: 2
咱(zǎ): 怎; 字数: 1
咱(zan): 方言; 字数: 2
咳(hái): 婴儿笑; 字数: 3
咳(hāi): 叹词; 字数: 2
咳(ké（旧读kài）): 咳嗽; 字数: 2
咴(huī): 〔咴咴〕象声词; 字数: 5
咴(hái): 小儿笑; 字数: 3
咵(uǎ): 言戾; 字数: 2
咶(huài): 气息，喘息; 字数: 4
咶(guā): 象声词; 字数: 3
咷(táo): 〔號咷〕也作“嚎啕”、“噭咷”; 字数: 8
咷(tiào): 〔噭咷〕也作“叫咷”; 字数: 6
咸(xián): 普遍; 字数: 2
咸(jiǎn): 姓; 字数: 1
咹(è): 吃; 字数: 1
咹(àn): 声止; 字数: 2
咹(ǎn): 叹词; 字数: 2
咺(xuǎn): 我国古代东北地区称小儿哭泣不止叫咺; 字数: 17
咺(xuān): 显著; 字数: 2
咻(xǔ): 〔噢咻〕也作“燠休”、“燠咻”; 字数: 8
咻(xiū): 喧闹; 字数: 2
咻(xù): 温暖；温和; 字数: 4
咼(wāi): 歪斜; 字数: 2
咼(wō): 古国名; 字数: 3
咼(guō): 姓; 字数: 1
咽(yān): 消化和呼吸的通道，位于鼻腔，口腔的后方，喉的上方，分为鼻咽、口咽和喉咽三部分; 字数: 33
咽(yàn): 吞食; 字数: 2
咽(yè): 声音滞涩; 字数: 4
咽(yuān): 〔咽咽〕有节奏的鼓声; 字数: 8
咾(ǎo): 声; 字数: 1
咿(ī): 象声词; 字数: 3
哀(āi): 怜悯; 字数: 2
品(pǐn): 众多; 字数: 2
哂(shěn): 微笑; 字数: 2
哃(tóng): 妄语; 字数: 2
哄(hòng): 唱声; 字数: 2
哄(hōng): 呵叱; 字数: 2
哄(hǒng): 逗引；欺骗; 字数: 4
哆(chǐ): 张口; 字数: 2
哆(zhà): 〔哆㕦〕大口貌; 字数: 5
哆(chì): 声; 字数: 1
哆(duò): 语助词; 字数: 3
哆(diě): 鱼张口貌; 字数: 4
哆(duō): 〔哆嗦〕颤抖; 字数: 4
哇(wā): 谄声; 字数: 2
哇(guī): 歌唱; 字数: 2
哇(huá): 哽塞; 字数: 2
哇(wá): 小孩; 字数: 2
哇(wa): 语气词; 字数: 3
哈(hā): 鱼多貌; 字数: 3
哈(hǎ): 姓; 字数: 1
哈(tà): 地名用字; 字数: 4
哈(hà): 〔哈什蚂〕蛤蟆的一个品种，产于我国*吉林省*，腹内有保护卵子的胶质块，中医视为补药; 字数: 36
哉(zāi): 语气词; 字数: 3
哊(òu): 呕吐; 字数: 2
哋(diè): 《類篇》地夜切; 字数: 5
哋(dì): 方言; 字数: 2
哌(pài): 〔哌嗪〕英文piperazine的音译; 字数: 17
哎(i): 叹词; 字数: 2
哏(None): 叹词; 字数: 2
哏(gén): 顿，稍停顿; 字数: 4
哐(kuāng): 象声词; 字数: 3
哐(qiāng): 方言; 字数: 2
哚(duǒ): 〔吲哚〕见“吲”; 字数: 4
哞(mōu): 象声词; 字数: 3
哠(hào): 多言; 字数: 2
員(yuán): 圆; 字数: 1
員(yún): 众; 字数: 1
員(yùn): 姓; 字数: 1
哢(lòng): 鸟鸣; 字数: 2
哤(máng): 言语杂乱; 字数: 4
哥(gē): 声; 字数: 1
哦(é): 吟咏；念（诵）; 字数: 4
哦(ó): 叹词; 字数: 2
哦(ǒ): 叹词; 字数: 2
哦(ò): 叹词; 字数: 2
哧(chī): 象声词用字; 字数: 5
哨(shào): 不正貌; 字数: 3
哨(sāo): 嗾使狗的声音; 字数: 6
哨(xiāo): 〔哨哨〕形容琐碎; 字数: 6
哩(lì): 词曲中的衬字; 字数: 6
哩(lī): 〔哩哩啦啦〕零零散散或断断续续的样子; 字数: 16
哩(li): 译音用字; 字数: 4
哩(lǐ（又读yīnglǐ）): “英里”的旧称; 字数: 5
哩(mǎi): 〔哩伽塔〕古地名; 字数: 6
哪(nuó): 〔哪哪〕旧时迎神赛会驱逐疫鬼的声音; 字数: 15
哪(na): 语气词; 字数: 3
哪(nǎ): 代词; 字数: 2
哪(nǎi（又读něi）): “哪（nǎ）”的口语音，后面跟量词或数词加量词的时候，在口语里常常说nǎi或něi; 字数: 35
哪(nà): 叹词; 字数: 2
哪(niè): 人名用字; 字数: 4
哪(né): 〔哪吒〕神名; 字数: 4
哫(ú): 〔哫訾〕奉承，讨好; 字数: 6
哬(hé): 〔哬哬〕也作“𧨂𧨂”; 字数: 6
哭(kū): 因悲伤或过分激动而流泪、发声; 字数: 13
哮(xiào): 猪惊叫声; 字数: 4
哮(xiào): 呼喊; 字数: 2
哯(xiàn): 不作呕而吐; 字数: 5
哰(láo): 〔㘓哰〕见“㘓”; 字数: 4
哱(pò): 吹气声; 字数: 3
哱(bā): 〔哱拜〕也作“巴拜”; 字数: 6
哱(bó): 逆; 字数: 1
哱(bō): 〔呼哱哱〕鸟名; 字数: 5
哲(zhé): 明智; 字数: 2
哳(zhā): 〔啁哳〕见“啁（zhāo）”; 字数: 8
哴(liàng): 〔唴哴〕因悲哭过度而失声; 字数: 10
哴(láng): 〔哴吭〕吹貌; 字数: 4
哵(ā): 鸟鸣; 字数: 2
哷(liè): 鸡鸣; 字数: 2
哹(ú): 吹气声; 字数: 3
哺(bǔ): 咀嚼；泛指吃、喝; 字数: 6
哼(hēng): 〔嗆哼〕见“嗆”; 字数: 4
哼(hng): 叹词; 字数: 2
哽(gěng): 因哀痛而语塞; 字数: 6
哽(yǐng): 咽声; 字数: 2
哽(g（又读ń）): 叹词; 字数: 2
哾(shuō): 尝; 字数: 1
哾(yuè): 〔铜哾〕鱼名; 字数: 4
哿(gě): 表示称许; 字数: 4
唀(yòu): 劝导；劝诱; 字数: 4
唁(yàn): 对遭遇非常变故者的慰问; 字数: 11
唂(gǔ): 鸟鸣; 字数: 2
唄(bài): 梵文Pāṭhaka译音的省文; 字数: 14
唄(bei): 语气词; 字数: 3
唅(hán): 以掌进食; 字数: 4
唅(hán): 古殡殓时以玉贝放在死者口中; 字数: 13
唅(án): 以掌进食; 字数: 4
唆(suō): 〔㗻唆〕小儿相应; 字数: 6
唇(zhēn): 惊; 字数: 1
唇(zhèn): 惊声; 字数: 2
唇(chún): 嘴唇; 字数: 2
唈(ì): 〔唈僾〕抑郁不舒畅貌; 字数: 8
唉(āi): 叹词; 字数: 2
唉(ǎi): 饱声; 字数: 2
唉(ài): 叹词; 字数: 2
唊(jiá): 妄语; 字数: 2
唊(qiǎn): 猴子用两颊囊藏食物; 字数: 9
唋(tū): 吐; 字数: 1
唌(xián): 言语中夹杂叹息声; 字数: 8
唌(yán): 谗言捷急貌; 字数: 5
唍(wǎn): 〔唍尔〕也作“莞尔”、“莧尔”; 字数: 8
唎(ì): 佛经译音用字; 字数: 6
唏(xī): 笑；笑声; 字数: 3
唏(xī): 啼哭; 字数: 2
唐(táng): 大话; 字数: 2
唑(zuò): 译音用字; 字数: 4
唒(qiú): 〔苦唒〕也作“苦蝤”; 字数: 6
唓(hē): 传说指守庙门的鬼; 字数: 8
唔(wú): 象声词; 字数: 3
唔(g（又读ń）): 方言; 字数: 2
唔(None): 方言; 字数: 2
唕(z鄌): 〔囉唕〕也作“囉唣”; 字数: 6
唗(dōu): 叹词; 字数: 2
唚(qīn): 亲吻; 字数: 2
唣(None): 叹词; 字数: 2
唤(huàn): 呼叫; 字数: 2
唦(hā): 语气词; 字数: 3
唧(jī): 〔啾唧〕细碎声; 字数: 5
唩(wō): 小儿啼; 字数: 3
唩(wěi): 词曲中的衬字; 字数: 6
唪(běng): 大笑; 字数: 2
唪(fěng): 高声念诵; 字数: 4
唫(jìn): 口急而不能畅言; 字数: 7
唬(xiāo): 《集韻》虚交切; 字数: 5
唬(guó): 鸟啼; 字数: 2
唬(hǔ): 象声词; 字数: 3
唭(qì): 〔唭㘈〕1.无闻见貌; 字数: 6
售(shòu): 卖出; 字数: 2
售(shú): 买；卖; 字数: 2
