汉字,笔画,反切,拼音,释义总个数
欯,10,許吉切 口戒切,xì kài,2
欰,10,辛聿切,ù,2
欱,10,呼合切 呼洽切,hē xiá,2
欲,11,余蜀切,yù,8
欴,10,魯當切,láng,1
欶,11,所角切 蘇奏切,shuò sòu,1
欷,11,香衣切,xī,1
欸,11,烏開切 許介切,āi ǎi xiè ēi） éi） ěi） èi）,8
欺,12,去其切,qī,4
欻,12,許勿切,xū chuā,6
欽,12,去金切 音切,qīn qìn yín,6
款,12,苦管切 許斤切,kuǎn xīn,17
欿,12,苦感切 大感切,kǎn qiàn dàn,5
歁,13,苦感切 口荅切 丘檢切,kǎn kè qiǎn,6
歂,13,市兖切 市緣切,chuǎn chuán,2
歃,13,山洽切 迄洽切,shà xiá,1
歄,12,古蛙切,guā,1
歅,13,於真切,īn,1
歆,13,許金切,xīn,7
歇,13,許竭切 乙轄切,xiē yà,9
歈,13,羊朱切,yú,1
歉,14,口陷切,qiàn,6
歊,14,許嬌切,xiāo,3
歋,14,弋支切,yé,2
歌,14,古俄切,gē,8
歍,14,哀都切 音獵,wū yāng,4
歎,15,他旦切,tàn,5
歏,15,渠遴切 丘云切,jìn qūn,2
歐,15,烏后切 烏侯切,ǒu ōu,3
歑,15,荒烏切,hū,1
歒,15,他歷切 許喬反,tì xiāo,1
歔,15,朽居切,xū,2
歖,16,欣里切 隱几切,xǐ yǐ,1
歙,16,許及切 書涉切 虚涉切,xī shè xié,7
歛,17,呼談切,hān liǎn,2
歜,17,尺玉切 徂感切,chù zàn,3
歞,18,鄂合切,è,1
歟,17,以諸切,yú,1
歠,19,昌悦切,chuò,2
歡,21,呼官切,huān,6
𣢁,7,馨夷切,xī,1
𣢇,7,呼來切 虚其切,hāi xī,1
𣢉,8,五瓜切,wā,1
𣢊,8,許勿切,xù,1
𣢋,8,篇夷切,pī,1
𣢌,8,他含切,tān,1
𣢍,8,馨夷切,xī,1
𣢏,8,悲巾切,bīn,1
𣢐,8,去斤切 丘耕切,qīn kēng,2
𣢑,8,許其切,xī,1
𣢒,8,羊朱切,yú,1
𣢓,8,許計切,xì,1
𣢕,8,,cì,1
𣢗,9,呼甲切,xiā,1
𣢛,9,乙革切,è,1
𣢜,9,於糾切 於虯切,yǒu yōu,1
𣢝,9,許令切,xìng,1
𣢞,9,年支切,í,2
𣢟,9,胡甘切 許咸切,hán xián,1
𣢠,9,毗必切,bì,1
𣢥,9,,diàn,1
𣢦,9,,yǔ,1
𣢫,10,紆往切 於狂切,wǎng wāng,2
𣢬,10,丘凡切,iān,2
𣢭,10,弋之切,yí,1
𣢰,10,子六切,cù,2
𣢲,10,丘凡切,qiān,1
𣢳,10,丁孕切,dìng,1
𣢴,10,音坑,kēng,1
𣢶,10,,chù,1
𣢷,10,於垢反,ǒu,1
𣢺,11,火含切,ān,2
𣣉,12,許激切,xì,1
𣣊,12,將支切,zī,1
𣣌,12,資四切 息利切,zì sì,2
𣣎,12,余六切,yù,1
𣣏,12,呼昆切,hūn,1
𣣑,12,心子切,sǐ,1
𣣒,12,口感切,kǎn,1
𣣜,12,於糾切,yǒu,1
𣣝,13,疾力切,jí,1
𣣞,13,五困切,ùn,3
𣣟,13,丘加切,qiā,1
𣣠,13,胡遘切,hòu,1
𣣡,13,胡溝切,hóu,1
𣣣,13,丁練切,diàn,1
𣣩,13,顯結切,xiè,1
𣣭,13,,shè,1
𣣲,14,虚業切,xié,1
𣣳,14,餘昭切 以紹切,yáo yǎo,2
𣣴,14,達合切,dà,1
𣣶,14,許介切,xiè,1
𣣸,14,與久切,yǒu,1
𣣿,14,徒來切,tái,1
𣤁,14,朱欲切,zhú,1
𣤃,14,,ǎi,1
𣤈,15,士革切,zé,1
𣤊,15,落合切,lā,1
𣤋,15,盧候切,lòu,1
𣤌,15,楚夬切 測紀切 姝悦切,chuài chǐ chuò,1
𣤎,15,与糾切,yǒu,1
𣤖,15,他計切,tì,1
𣤘,16,山宜切,shī,1
𣤡,17,馨叫切 乙六切,xiào yǒu,1
𣤢,17,馨激切,xì,2
𣤨,18,胡陌切,huò,1
𣤩,18,丑歷切,chì,1
𣤳,20,音西,xī,1
𣤴,21,許羈切,ī,1
𣤵,21,於郢切,yǐng,1
𣤶,22,子六切 子答切 俎敢切,zú zā zàn,4
𣤷,21,音𠯗,zā,1
𣤺,22,子答反,zā,1
